DETECTION, 4b5d738e-9c8a-5097-96e7-3c78a00e0f31, [{'label': 'animal', 'probability': 0.9409999847412109}]
DETECTION, 4b5d738e-9c8a-5097-96e7-3c78a00e0f31, [{'label': 'animal', 'probability': 0.9409999847412109}]
DETECTION, 4b5d738e-9c8a-5097-96e7-3c78a00e0f31, [{'label': 'animal', 'probability': 0.9409999847412109}]
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save
STORING, 804f22de-8a90-52af-8baf-cda2cd66385f, 804f22de-8a90-52af-8baf-cda2cd66385f.png, Save


